County,Industry,2022 Total Sales,2022 4% Sales,2022 Non-4% Sales,2023 Total Sales,2023 Total Sales YoY Profit Change,2023 Total Sales YoY Growth Rate (%),2023 4% Sales,2023 4% Sales YoY Profit Change,2023 4% Sales YoY Growth Rate (%),2023 Non-4% Sales,2023 Non-4% Sales YoY Profit Change,2023 Non-4% Sales YoY Growth Rate (%),2024 Total Sales,2024 Total Sales YoY Profit Change,2024 Total Sales YoY Growth Rate (%),2024 4% Sales,2024 4% Sales YoY Profit Change,2024 4% Sales YoY Growth Rate (%),2024 Non-4% Sales,2024 Non-4% Sales YoY Profit Change,2024 Non-4% Sales YoY Growth Rate (%),2022 Total Use Tax,2022 4% Use Tax,2022 Non-4% Use Tax,2023 Total Use Tax,2023 Total Use YoY Profit Change,2023 Total Use YoY Growth Rate (%),2023 4% Use Tax,2023 4% Use YoY Profit Change,2023 4% Use YoY Growth Rate (%),2023 Non-4% Use Tax,2023 Non-4% Use YoY Profit Change,2023 Non-4% Use YoY Profit Change,2024 Total Use Tax,2024 Total Use YoY Profit Change,2024 Total Use YoY Growth Rate (%),2024 4% Use Tax,2024 4% Use YoY Profit Change,2024 4% Use YoY Growth Rate (%),2024 Non-4% Use Tax,2024 Non-4% Use YoY Profit Change,2024 4% Use YoY Growth Rate (%)
Weston,Financial Activities*,79546,52781,26765,85098,5552,6.979609283,66659,13878,26.2935526,18439,-8326,-31.10779002,87280,2182,2.564102564,69602,2943,4.415007726,17678,-761,-4.127121861,29,19,10,160,131,451.7241379,127,108,568.4210526,33,23,230,1813,1653,1033.125,1450,1323,1041.732283,363,330,1000
Weston,Professional & Business Services,83976,55660,28316,67370,-16606,-19.77469753,52796,-2864,-5.14552641,14574,-13742,-48.53086594,67980,610,0.9054475286,54187,1391,2.634669293,13793,-781,-5.358858241,343,228,115,23,-320,-93.29446064,17,-211,-92.54385965,6,-109,-94.7826087,344,321,1395.652174,275,258,1517.647059,69,63,1050
Weston,Educational & Health Services,893,591,302,530,-363,-40.64949608,414,-177,-29.94923858,116,-186,-61.58940397,781,251,47.35849057,623,209,50.48309179,158,42,36.20689655,79,52,27,3,-76,-96.20253165,2,-50,-96.15384615,1,-26,-96.2962963,0,-3,-100,0,-2,-100,0,-1,-100
Weston,Leisure & Hospitality,574058,382475,191583,497030,-77028,-13.41815635,384862,2387,0.624093078,112168,-79415,-41.45200775,491467,-5563,-1.119248335,393685,8823,2.292510043,97782,-14386,-12.82540475,9354,6235,3119,3128,-6226,-66.55976053,2374,-3861,-61.92461909,754,-2365,-75.82558512,5883,2755,88.07544757,4701,2327,98.02021904,1182,428,56.76392573
Weston,Other Services,388856,258306,130550,327098,-61758,-15.88197173,257948,-358,-0.1385953094,69150,-61400,-47.03178859,359265,32167,9.834055849,287064,29116,11.28754633,72201,3051,4.412147505,633,421,212,392,-241,-38.07266983,310,-111,-26.36579572,82,-130,-61.32075472,388,-4,-1.020408163,309,-1,-0.3225806452,79,-3,-3.658536585
Weston,Public Administration**,526633,351089,175544,537552,10919,2.073360386,423061,71972,20.49964539,114491,-61053,-34.77931459,538147,595,0.1106869661,430518,7457,1.762629975,107629,-6862,-5.993484204,757977,505318,252659,773191,15214,2.007184915,611059,105741,20.92563495,162132,-90527,-35.82971515,926188,152997,19.78773679,741007,129948,21.26603159,185181,23049,14.21619421
Weston,Total,6307102,4193012,2114090,5822594,-484508,-7.681943308,4593069,400057,9.541041142,1229525,-884565,-41.84140694,6825227,1002633,17.21969624,5451298,858229,18.68530606,1373929,144404,11.74469816,906299,603896,302403,933746,27447,3.028470736,736336,132440,21.9309285,197410,-104993,-34.71956297,1123757,190011,20.34932412,897626,161290,21.90440234,226131,28721,14.54890836
All,"Agr, Forestry, Fishing, & Hunting",340169,251884,88285,385409,45240,13.29927183,289140,37256,14.79093551,96269,7984,9.043438863,494619,109210,28.33613123,374959,85819,29.68077748,119660,23391,24.29754126,265,211,54,26,-239,-90.18867925,21,-190,-90.04739336,5,-49,-90.74074074,3739,3713,14280.76923,2981,2960,14095.2381,758,753,15060
All,Mining,78520005,61955281,16564724,128162435,49642430,63.22265262,100285570,38330289,61.86767033,27876865,11312141,68.29054924,134113259,5950824,4.643188934,103909165,3623595,3.613276566,30204094,2327229,8.348245041,16742511,12984406,3758105,21293240,4550729,27.18068395,16468562,3484156,26.83338768,4824678,1066573,28.38060672,25601376,4308136,20.23241179,18405220,1936658,11.75972741,7196156,2371478,49.15308338
All,Utilities,42525323,32203972,10321351,59459836,16934513,39.82218548,43361277,11157305,34.64574184,16098559,5777208,55.97337015,73953650,14493814,24.37580554,52468205,9106928,21.00244419,21485445,5386886,33.4619142,5529764,4064726,1465038,6538011,1008247,18.23309277,4752394,687668,16.91794232,1785617,320579,21.88195801,8261953,1723942,26.36798867,5795564,1043170,21.95041068,2466389,680772,38.12530907
All,Construction,10415207,7920417,2494790,10754052,338845,3.253367888,8123120,202703,2.559246565,2630932,136142,5.457052497,12934245,2180193,20.27322353,9593771,1470651,18.1045091,3340474,709542,26.96922611,7773861,5702183,2071678,9807086,2033225,26.15463539,6888421,1186238,20.80322571,2918665,846987,40.88410458,7834277,-1972809,-20.11615887,5552329,-1336092,-19.39620125,2281948,-636717,-21.81535051
All,Manufacturing,25060877,19421180,5639697,29481094,4420217,17.63791826,22809299,3388119,17.44548477,6671795,1032098,18.3005931,32432966,2951872,10.01276276,24050945,1241646,5.443595614,8382021,1710226,25.6336713,4786796,3637098,1149698,3583581,-1203215,-25.13612446,2717030,-920068,-25.29676132,866551,-283147,-24.62794577,3269874,-313707,-8.754008909,2258938,-458092,-16.86002731,1010936,144385,16.66203143
