County,naics_desc,naics_code,2023 Jobs,2023 Total Retail,2023 4% Retail,2023 Lodging,2023 General Purpose Sales,2023 General Purpose Use,2023 Specific Purpose Sales,2023 Specific Purpose Use,Resort District Sales,Resort Disctrict Use,Economic Development Sales,Economic Development Use,State Sales,State Use,Lodging Assessment,Total
Big Horn,AUTOMOBILE DEALERS,4411,6.161177,"24,725","19,704",,"5,021.00",,,,,,,,"19,704.00",,,"24,725.00"
Big Horn,OTHER MOTOR VEHICLE DEALERS,4412,0,"15,542","12,410",,"3,132.00",107,,,,,,,"12,410.00",418,,"16,067.00"
Big Horn,"AUTO PARTS, ACCESSORIES, AND TIRE STORES",4413,13.08882,"274,090","218,766",,"55,324.00",149,,,,,,,"218,766.00",588,,"274,828.00"
Big Horn,FURNITURE STORES,4421,,"64,460","51,440",,"13,020.00",,,,,,,,"51,440.00",,,"64,460.00"
Big Horn,HOME FURNISHINGS STORES,4422,,"21,403","17,085",,"4,317.00",624,,,,,,,"17,085.00","2,490.00",,"24,517.00"
Big Horn,ELECTRONICS AND APPLIANCE STORES,4431,,"111,898","89,324",,"22,574.00",785,,,,,,,"89,324.00","3,120.00",,"115,804.00"
Big Horn,BUILDING MATERIAL AND SUPPLIES DEALERS,4441,17.40922,"948,415","756,793",,"191,622.00","3,607.00",,,,,,,"756,793.00","14,257.00",,"966,279.00"
Big Horn,LAWN AND GARDEN EQUIPMENT AND SUPPLIES STORES,4442,2.757441,"150,730","120,307",,"30,423.00","19,985.00",,,,,,,"120,307.00","79,939.00",,"250,655.00"
Big Horn,GROCERY STORES,4451,80.25,"137,288","109,519","1,020.00","27,769.00",34,,,,,,,"109,519.00",135,"1,530.00","140,007.00"
Big Horn,SPECIALTY FOOD STORES,4452,0,"42,223","33,742",,"8,480.00",57,,,,,,,"33,742.00",227,,"42,507.00"
Big Horn,"BEER, WINE, AND LIQUOR STORES",4453,0,"33,437","26,667",,"6,770.00",72,,,,,,,"26,667.00",285,,"33,794.00"
Big Horn,HEALTH AND PERSONAL CARE STORES,4461,,"47,616","38,011",,"9,605.00",25,,,,,,,"38,011.00",98,,"47,739.00"
Big Horn,GASOLINE STATIONS,4471,,"653,049","521,582",,"131,466.00","1,269.00",,,,,,,"521,582.00","5,049.00",,"659,366.00"
Big Horn,CLOTHING STORES,4481,,"48,884","38,990",,"9,894.00",63,,,,,,,"38,990.00",251,,"49,198.00"
Big Horn,SHOE STORES,4482,,"3,262","2,601",,661,,,,,,,,"2,601.00",,,"3,262.00"
Big Horn,"JEWELRY, LUGGAGE, AND LEATHER GOODS STORES",4483,,"7,331","5,863",,"1,468.00",200,,,,,,,"5,863.00",801,,"8,333.00"
Big Horn,SPORTING GOODS AND MUSICAL INSTRUMENT STORES,4511,,"32,670","26,090",,"6,580.00",-18,,,,,,,"26,090.00",-76,,"32,576.00"
Big Horn,"BOOK, PERIODICAL, AND MUSIC STORES",4512,,"7,191","5,736",841,"1,454.00",7,,,,,,,"5,736.00",29,"1,262.00","9,331.00"
Big Horn,DEPARTMENT STORES,4521,,"10,856","8,680",,"2,177.00",,,,,,,,"8,680.00",,,"10,856.00"
Big Horn,OTHER GENERAL MERCHANDISE STORES,4529,,"238,266","190,396",,"47,870.00","2,474.00",,,,,,,"190,396.00","9,894.00",,"250,634.00"
Big Horn,FLORISTS,4531,,"4,493","3,580",,913,,,,,,,,"3,580.00",,,"4,493.00"
Big Horn,"OFFICE SUPPLIES, STATIONERY, AND GIFT STORES",4532,,"38,263","30,495",379,"7,768.00",3,,,,,,,"30,495.00",12,385,"39,042.00"
