County,naics_desc,naics_code,2023 Jobs,2023 Total Retail,2023 4% Retail,2023 Lodging,2023 General Purpose Sales,2023 General Purpose Use,2023 Specific Purpose Sales,2023 Specific Purpose Use,Resort District Sales,Resort Disctrict Use,Economic Development Sales,Economic Development Use,State Sales,State Use,Lodging Assessment,Total
Converse,TRAVELER ACCOMMODATION,7211,138.4088,"574,342","458,047","350,818.00","116,295.00",370,,,,,,,"458,047.00","1,443.00","336,087.00","1,263,061.00"
Converse,RV PARKS AND RECREATIONAL CAMPS,7212,4.424578,"22,666","18,034","8,106.00","4,632.00",,,,,,,,"18,034.00",,"7,861.00","38,633.00"
Converse,ROOMING AND BOARDING HOUSES,7213,0,0,0,,,,,,,,,,,,,
Converse,FULL-SERVICE RESTAURANTS,7221,,"464,547","370,985","1,436.00","93,562.00",146,,,,,,,"370,985.00",573,"1,353.00","468,055.00"
Converse,LIMITED-SERVICE EATING PLACES,7222,,"468,210","374,046",,"94,164.00",335,,,,,,,"374,046.00","1,310.00",,"469,856.00"
Converse,SPECIAL FOOD SERVICES,7223,3.185231,"12,612","10,062",167,"2,549.00",,,,,,,,"10,062.00",,197,"12,975.00"
Converse,"DRINKING PLACES, ALCOHOLIC BEVERAGES",7224,52.81469,"176,205","140,533",396,"35,672.00",514,,,,,,,"140,533.00","2,037.00",376,"179,527.00"
Converse,TOTAL,TOTAL,,"24,081,597","19,243,549","362,676.00","4,838,043.00","64,324.00",4,,,,,,"19,243,549.00","254,357.00","347,561.00","25,110,515.00"
Crook,AUTOMOBILE DEALERS,4411,0.389958,"99,578","65,809",,"16,885.00",,"16,885.00",,,,,,"65,809.00",,,"99,578.00"
Crook,OTHER MOTOR VEHICLE DEALERS,4412,2.440493,"62,610","41,472",,"10,569.00",,"10,569.00",,,,,,"41,472.00",,,"62,610.00"
Crook,"AUTO PARTS, ACCESSORIES, AND TIRE STORES",4413,5.320669,"99,388","65,901",,"16,744.00",39,"16,744.00",39,,,,,"65,901.00",151,,"99,616.00"
Crook,FURNITURE STORES,4421,,"27,700","18,385",,"4,658.00",181,"4,658.00",181,,,,,"18,385.00",722,,"28,783.00"
Crook,HOME FURNISHINGS STORES,4422,,"30,289","20,110",187,"5,095.00","1,477.00","5,083.00","1,477.00",,,,,"20,110.00","5,769.00",95,"39,292.00"
Crook,ELECTRONICS AND APPLIANCE STORES,4431,,"132,690","88,128",,"22,281.00",613,"22,281.00",613,,,,,"88,128.00","2,426.00",,"136,341.00"
Crook,BUILDING MATERIAL AND SUPPLIES DEALERS,4441,7.964305,"1,060,946","705,022",,"177,964.00","34,625.00","177,960.00","34,625.00",,,,,"705,022.00","137,974.00",,"1,268,171.00"
Crook,LAWN AND GARDEN EQUIPMENT AND SUPPLIES STORES,4442,4.035693,"278,128","184,400",,"46,864.00",630,"46,864.00",630,,,,,"184,400.00","2,471.00",,"281,858.00"
Crook,GROCERY STORES,4451,50.08333,"113,340","75,168","9,691.00","19,086.00",26,"19,086.00",26,,,,,"75,168.00",103,"7,257.00","130,443.00"
Crook,SPECIALTY FOOD STORES,4452,0,"7,796","5,158",,"1,319.00",,"1,319.00",,,,,,"5,158.00",,,"7,796.00"
Crook,"BEER, WINE, AND LIQUOR STORES",4453,0,"24,446","16,161",,"4,143.00",,"4,143.00",,,,,,"16,161.00",,,"24,446.00"
Crook,HEALTH AND PERSONAL CARE STORES,4461,,"34,787","23,096",136,"5,847.00",32,"5,844.00",32,,,,,"23,096.00",129,102,"35,219.00"
Crook,GASOLINE STATIONS,4471,,"652,967","434,268","1,749.00","109,350.00",438,"109,350.00",438,,,,,"434,268.00","1,752.00","1,312.00","658,656.00"
Crook,CLOTHING STORES,4481,,"33,715","22,371",29,"5,675.00",2,"5,669.00",2,,,,,"22,371.00",8,22,"33,777.00"
Crook,SHOE STORES,4482,,"2,579","1,713",,433,3,433,3,,,,,"1,713.00",11,,"2,595.00"
Crook,"JEWELRY, LUGGAGE, AND LEATHER GOODS STORES",4483,,"2,462","1,630",,416,,416,,,,,,"1,630.00",,,"2,462.00"
Crook,SPORTING GOODS AND MUSICAL INSTRUMENT STORES,4511,,"85,045","56,597","4,131.00","14,224.00",364,"14,224.00",364,,,,,"56,597.00","1,444.00","3,095.00","94,443.00"
Crook,"BOOK, PERIODICAL, AND MUSIC STORES",4512,,"14,849","9,850","7,623.00","2,500.00",6,"2,500.00",6,,,,,"9,850.00",23,"5,633.00","28,139.00"
Crook,DEPARTMENT STORES,4521,,"6,644","4,426",,"1,109.00",,"1,109.00",,,,,,"4,426.00",,,"6,644.00"
Crook,OTHER GENERAL MERCHANDISE STORES,4529,,"117,219","78,035",,"19,592.00",20,"19,592.00",20,,,,,"78,035.00",80,,"117,338.00"
Crook,FLORISTS,4531,,"7,404","4,923",,"1,241.00",,"1,241.00",,,,,,"4,923.00",,,"7,404.00"
Crook,"OFFICE SUPPLIES, STATIONERY, AND GIFT STORES",4532,,"162,818","107,913","13,959.00","27,453.00",25,"27,453.00",25,,,,,"107,913.00",98,"10,449.00","187,375.00"
Crook,USED MERCHANDISE STORES,4533,,"7,198","4,767",,"1,215.00",,"1,215.00",,,,,,"4,767.00",,,"7,198.00"
Crook,OTHER MISCELLANEOUS STORE RETAILERS,4539,,"346,570","230,316",497,"58,130.00","8,912.00","58,124.00","8,912.00",,,,,"230,316.00","35,525.00",372,"400,787.00"
Crook,ELECTRONIC SHOPPING AND MAILORDER HOUSES,4541,,"1,155,735","768,279",,"193,811.00","6,296.00","193,645.00","6,296.00",,,,,"768,279.00","24,889.00",,"1,193,216.00"
Crook,VENDING MACHINE OPERATORS,4542,,"2,134","1,413",,361,,361,,,,,,"1,413.00",,,"2,134.00"
Crook,DIRECT SELLING ESTABLISHMENTS,4543,,"343,194","228,541",,"57,327.00","8,802.00","57,327.00","8,802.00",,,,,"228,541.00","34,307.00",,"395,106.00"
Crook,TRAVELER ACCOMMODATION,7211,31.16666,"203,675","136,273","113,544.00","34,352.00",224,"33,050.00",224,,,,,"136,273.00",892,"80,754.00","399,314.00"
Crook,RV PARKS AND RECREATIONAL CAMPS,7212,51.41666,"70,622","46,886","32,990.00","11,868.00",,"11,868.00",,,,,,"46,886.00",,"24,672.00","128,284.00"
Crook,ROOMING AND BOARDING HOUSES,7213,0,0,0,,,,,,,,,,,,,
Crook,FULL-SERVICE RESTAURANTS,7221,,"377,470","250,540","2,030.00","63,465.00",,"63,465.00",,,,,,"250,540.00",,"1,499.00","380,999.00"
Crook,LIMITED-SERVICE EATING PLACES,7222,,"69,425","46,220","3,044.00","11,602.00",223,"11,602.00",223,,,,,"46,220.00",883,"2,281.00","76,078.00"
Crook,SPECIAL FOOD SERVICES,7223,0,"10,075","6,735","1,405.00","1,712.00",,"1,629.00",,,,,,"6,735.00",,"1,032.00","12,513.00"
Crook,"DRINKING PLACES, ALCOHOLIC BEVERAGES",7224,32.75,"128,514","85,223",,"21,645.00",,"21,645.00",,,,,,"85,223.00",,,"128,514.00"
Crook,TOTAL,TOTAL,,"5,772,011","3,835,726","191,015.00","968,933.00","62,937.00","967,352.00","62,937.00",,,,,"3,835,726.00","249,655.00","138,575.00","6,477,130.00"
Fremont,AUTOMOBILE DEALERS,4411,147.5833,"360,878","260,807",,"66,714.00",272,,,,,"33,357.00",136,"260,807.00","1,087.00",,"362,372.00"
Fremont,OTHER MOTOR VEHICLE DEALERS,4412,26,"530,108","384,316",100,"96,984.00",,,,,,"48,808.00",,"384,316.00",,74,"530,283.00"
Fremont,"AUTO PARTS, ACCESSORIES, AND TIRE STORES",4413,105.3333,"792,240","574,463",,"145,185.00",652,,,,,"72,592.00",326,"574,463.00","2,584.00",,"795,803.00"
Fremont,FURNITURE STORES,4421,,"183,012","132,574","2,849.00","33,625.00",133,,,,,"16,812.00",67,"132,574.00",520,"2,137.00","188,717.00"
Fremont,HOME FURNISHINGS STORES,4422,,"188,292","136,758",,"34,356.00","4,435.00",,,,,"17,179.00","2,218.00","136,758.00","17,641.00",,"212,586.00"
Fremont,ELECTRONICS AND APPLIANCE STORES,4431,,"705,199","511,693",,"129,004.00","1,307.00",,,,,"64,502.00",654,"511,693.00","5,150.00",,"712,310.00"
Fremont,BUILDING MATERIAL AND SUPPLIES DEALERS,4441,161.3333,"5,539,363","4,021,097",,"1,012,157.00","26,460.00",,,,,"506,109.00","13,230.00","4,021,097.00","104,837.00",,"5,683,890.00"
Fremont,LAWN AND GARDEN EQUIPMENT AND SUPPLIES STORES,4442,99.33333,"620,753","450,846",386,"113,271.00",854,,,,,"56,636.00",427,"450,846.00","3,383.00",289,"626,092.00"
Fremont,GROCERY STORES,4451,343.75,"925,038","670,888","8,714.00","169,433.00","2,621.00",,,,,"84,716.00","1,310.00","670,888.00","10,423.00","6,522.00","954,628.00"
Fremont,SPECIALTY FOOD STORES,4452,22.57645,"51,093","37,030","1,899.00","9,376.00",,,,,,"4,688.00",,"37,030.00",,"1,424.00","54,417.00"
Fremont,"BEER, WINE, AND LIQUOR STORES",4453,31.17349,"522,954","378,728",2,"96,151.00",150,,,,,"48,075.00",75,"378,728.00",599,1,"523,781.00"
Fremont,HEALTH AND PERSONAL CARE STORES,4461,,"289,331","209,852",,"53,001.00",200,,,,,"26,478.00",100,"209,852.00",785,,"290,416.00"
Fremont,GASOLINE STATIONS,4471,,"1,758,372","1,276,501",130,"321,247.00",907,,,,,"160,624.00",454,"1,276,501.00","3,603.00",97,"1,763,563.00"
Fremont,CLOTHING STORES,4481,,"331,506","240,313",119,"60,796.00",365,,,,,"30,397.00",182,"240,313.00","1,444.00",90,"333,706.00"
Fremont,SHOE STORES,4482,,"89,606","64,907",,"16,466.00",85,,,,,"8,233.00",43,"64,907.00",337,,"90,070.00"
Fremont,"JEWELRY, LUGGAGE, AND LEATHER GOODS STORES",4483,,"64,414","46,663",,"11,834.00",.,,,,,"5,917.00",.,"46,663.00",2,,"64,416.00"
Fremont,SPORTING GOODS AND MUSICAL INSTRUMENT STORES,4511,,"787,584","570,865","2,186.00","144,459.00","1,783.00",,,,,"72,260.00",892,"570,865.00","7,112.00","1,640.00","801,197.00"
Fremont,"BOOK, PERIODICAL, AND MUSIC STORES",4512,,"80,704","58,460","8,751.00","14,829.00",76,,,,,"7,415.00",38,"58,460.00",301,"6,474.00","96,343.00"
Fremont,DEPARTMENT STORES,4521,,"30,162","21,921",,"5,494.00",,,,,,"2,747.00",,"21,921.00",,,"30,162.00"
Fremont,OTHER GENERAL MERCHANDISE STORES,4529,,"4,207,134","3,058,809",318,"765,551.00","9,325.00",,,,,"382,775.00","4,663.00","3,058,809.00","37,269.00",233,"4,258,942.00"
Fremont,FLORISTS,4531,,"31,848","23,054",,"5,862.00",,,,,,"2,931.00",,"23,054.00",,,"31,848.00"
Fremont,"OFFICE SUPPLIES, STATIONERY, AND GIFT STORES",4532,,"197,937","143,352","4,155.00","36,390.00",5,,,,,"18,195.00",2,"143,352.00",20,"3,116.00","205,235.00"
Fremont,USED MERCHANDISE STORES,4533,,"91,763","66,377",,"16,924.00",,,,,,"8,462.00",,"66,377.00",,,"91,763.00"
Fremont,OTHER MISCELLANEOUS STORE RETAILERS,4539,,"992,483","719,466",512,"182,073.00","6,036.00",,,,,"90,944.00","3,018.00","719,466.00","23,973.00",384,"1,026,405.00"
Fremont,ELECTRONIC SHOPPING AND MAILORDER HOUSES,4541,,"3,897,227","2,829,277",,"712,062.00","2,267.00",,,,,"355,889.00","1,134.00","2,829,277.00","8,947.00",,"3,909,576.00"
Fremont,VENDING MACHINE OPERATORS,4542,,"2,427","1,757",25,447,97,,,,,223,48,"1,757.00",381,19,"2,998.00"
Fremont,DIRECT SELLING ESTABLISHMENTS,4543,,"1,184,067","860,847",,"215,505.00",870,,,,,"107,716.00",435,"860,847.00","3,471.00",,"1,188,843.00"
Fremont,TRAVELER ACCOMMODATION,7211,268,"1,144,329","827,985","780,695.00","210,786.00",541,,,,,"105,558.00",271,"827,985.00","2,114.00","587,491.00","2,515,442.00"
Fremont,RV PARKS AND RECREATIONAL CAMPS,7212,96.49999,"138,911","100,500","74,386.00","25,607.00",118,,,,,"12,803.00",59,"100,500.00",463,"55,420.00","269,356.00"
Fremont,ROOMING AND BOARDING HOUSES,7213,0,0,0,,,,,,,,,,,,,
Fremont,FULL-SERVICE RESTAURANTS,7221,,"1,671,742","1,210,813","62,602.00","307,708.00",3,,,,,"153,221.00",1,"1,210,813.00",10,"51,497.00","1,785,855.00"
Fremont,LIMITED-SERVICE EATING PLACES,7222,,"1,577,448","1,144,020",,"288,982.00",947,,,,,"144,446.00",474,"1,144,020.00","3,714.00",,"1,582,582.00"
Fremont,SPECIAL FOOD SERVICES,7223,27.33333,"45,773","33,261",14,"8,341.00",,,,,,"4,170.00",,"33,261.00",,46,"45,833.00"
Fremont,"DRINKING PLACES, ALCOHOLIC BEVERAGES",7224,68.08333,"340,337","246,522","37,468.00","62,547.00",21,,,,,"31,268.00",11,"246,522.00",85,"28,349.00","406,271.00"
Fremont,TOTAL,TOTAL,,"29,374,036","21,314,723","985,311.00","5,373,165.00","60,531.00",,,,,"2,686,147.00","30,266.00","21,314,723.00","240,252.00","745,304.00","31,435,701.00"
Goshen,AUTOMOBILE DEALERS,4411,11.00183,"7,631","5,798",,"1,467.00",,,,,,367,,"5,798.00",,,"7,631.00"
Goshen,OTHER MOTOR VEHICLE DEALERS,4412,0,"64,391","48,965",,"12,340.00",804,,,,,"3,085.00",201,"48,965.00","3,214.00",,"68,610.00"
Goshen,"AUTO PARTS, ACCESSORIES, AND TIRE STORES",4413,24.58151,"425,516","323,106",,"81,928.00",125,,,,,"20,482.00",31,"323,106.00",497,,"426,168.00"
Goshen,FURNITURE STORES,4421,,"70,648","53,652",,"13,597.00",16,,,,,"3,399.00",4,"53,652.00",62,,"70,730.00"
Goshen,HOME FURNISHINGS STORES,4422,,"38,400","29,220",,"7,344.00","2,276.00",,,,,"1,836.00",569,"29,220.00","9,064.00",,"50,309.00"
Goshen,ELECTRONICS AND APPLIANCE STORES,4431,,"304,429","231,382",,"58,438.00","4,936.00",,,,,"14,609.00","1,234.00","231,382.00","19,664.00",,"330,263.00"
Goshen,BUILDING MATERIAL AND SUPPLIES DEALERS,4441,44.27944,"1,829,358","1,391,064",,"350,635.00","5,862.00",,,,,"87,659.00","1,465.00","1,391,064.00","23,285.00",,"1,859,970.00"
Goshen,LAWN AND GARDEN EQUIPMENT AND SUPPLIES STORES,4442,17.55389,"301,893","229,657",,"57,789.00","1,229.00",,,,,"14,447.00",307,"229,657.00","4,912.00",,"308,341.00"
Goshen,GROCERY STORES,4451,88.74231,"130,962","99,605",,"25,086.00",541,,,,,"6,272.00",135,"99,605.00","2,164.00",,"133,803.00"
Goshen,SPECIALTY FOOD STORES,4452,3.201239,"95,219","72,519",,"18,160.00",3,,,,,"4,540.00",1,"72,519.00",12,,"95,235.00"
Goshen,"BEER, WINE, AND LIQUOR STORES",4453,4.473063,"78,663","59,624",,"15,231.00",34,,,,,"3,808.00",9,"59,624.00",138,,"78,843.00"
Goshen,HEALTH AND PERSONAL CARE STORES,4461,,"220,934","167,576",,"42,687.00",160,,,,,"10,672.00",40,"167,576.00",638,,"221,773.00"
Goshen,GASOLINE STATIONS,4471,,"487,961","371,120",,"93,472.00",605,,,,,"23,368.00",151,"371,120.00","2,418.00",,"491,134.00"
Goshen,CLOTHING STORES,4481,,"124,743","94,833",,"23,927.00",23,,,,,"5,982.00",6,"94,833.00",91,,"124,863.00"
Goshen,SHOE STORES,4482,,"3,283","2,491",,634,7,,,,,158,2,"2,491.00",28,,"3,320.00"
Goshen,"JEWELRY, LUGGAGE, AND LEATHER GOODS STORES",4483,,"6,104","4,642",,"1,170.00",12,,,,,293,3,"4,642.00",48,,"6,168.00"
Goshen,SPORTING GOODS AND MUSICAL INSTRUMENT STORES,4511,,"50,745","38,563",,"9,746.00",1,,,,,"2,436.00",.,"38,563.00",5,,"50,751.00"
Goshen,"BOOK, PERIODICAL, AND MUSIC STORES",4512,,"12,305","9,349",190,"2,365.00",6,,,,,591,1,"9,349.00",23,274,"12,798.00"
Goshen,DEPARTMENT STORES,4521,,"15,783","12,016",,"3,013.00",,,,,,753,,"12,016.00",,,"15,783.00"
Goshen,OTHER GENERAL MERCHANDISE STORES,4529,,"162,478","123,642",,"31,069.00",198,,,,,"7,767.00",49,"123,642.00",789,,"163,514.00"
Goshen,FLORISTS,4531,,"17,076","13,003",,"3,259.00",,,,,,815,,"13,003.00",,,"17,076.00"
Goshen,"OFFICE SUPPLIES, STATIONERY, AND GIFT STORES",4532,,"49,608","37,694",313,"9,531.00",83,,,,,"2,383.00",21,"37,694.00",328,235,"50,588.00"
Goshen,USED MERCHANDISE STORES,4533,,"29,888","22,676",,"5,770.00",7,,,,,"1,442.00",2,"22,676.00",27,,"29,924.00"
Goshen,OTHER MISCELLANEOUS STORE RETAILERS,4539,,"321,538","244,626",,"61,529.00","9,185.00",,,,,"15,382.00","2,296.00","244,626.00","36,737.00",,"369,755.00"
Goshen,ELECTRONIC SHOPPING AND MAILORDER HOUSES,4541,,"1,237,337","941,352",,"236,789.00",802,,,,,"59,195.00",200,"941,352.00","3,200.00",,"1,241,539.00"
Goshen,VENDING MACHINE OPERATORS,4542,,49,37,,9,,,,,,2,,37,,,49
Goshen,DIRECT SELLING ESTABLISHMENTS,4543,,"538,236","409,957",51,"102,623.00",515,,,,,"25,656.00",129,"409,957.00","2,060.00",38,"541,028.00"
Goshen,TRAVELER ACCOMMODATION,7211,55.85321,"123,540","93,821","93,964.00","23,775.00",149,,,,,"5,944.00",37,"93,821.00",595,"67,358.00","285,643.00"
Goshen,RV PARKS AND RECREATIONAL CAMPS,7212,0,"2,625","1,997","1,623.00",502,,,,,,126,,"1,997.00",,"1,217.00","5,465.00"
Goshen,ROOMING AND BOARDING HOUSES,7213,0,0,0,,,,,,,,,,,,,
Goshen,FULL-SERVICE RESTAURANTS,7221,,"349,614","265,596",,"67,214.00",279,,,,,"16,804.00",70,"265,596.00","1,111.00",,"351,074.00"
Goshen,LIMITED-SERVICE EATING PLACES,7222,,"401,593","304,770",,"77,459.00",400,,,,,"19,365.00",100,"304,770.00","1,564.00",,"403,657.00"
Goshen,SPECIAL FOOD SERVICES,7223,0,"4,937","3,748",32,951,,,,,,238,,"3,748.00",,24,"4,992.00"
Goshen,"DRINKING PLACES, ALCOHOLIC BEVERAGES",7224,45,"128,623","97,780",,"24,674.00",91,,,,,"6,169.00",23,"97,780.00",360,,"129,096.00"
Goshen,TOTAL,TOTAL,,"7,636,109","5,805,880","96,172.00","1,464,184.00","28,347.00",,,,,"366,044.00","7,087.00","5,805,880.00","113,034.00","69,146.00",7949894.4
Hot Springs,AUTOMOBILE DEALERS,4411,0,"48,795","32,341",,"8,227.00",,"8,227.00",,,,,,"32,341.00",,,"48,795.00"
Hot Springs,OTHER MOTOR VEHICLE DEALERS,4412,0,"4,300","2,856",,722,,722,,,,,,"2,856.00",,,"4,300.00"
Hot Springs,"AUTO PARTS, ACCESSORIES, AND TIRE STORES",4413,7.556199,"97,527","64,859",494,"16,334.00",85,"16,334.00",85,,,,,"64,859.00",339,371,"98,902.00"
Hot Springs,FURNITURE STORES,4421,,"11,061","7,344",,"1,859.00",,"1,859.00",,,,,,"7,344.00",,,"11,061.00"
Hot Springs,HOME FURNISHINGS STORES,4422,,"7,398","4,916",,"1,241.00",317,"1,241.00",317,,,,,"4,916.00","1,263.00",,"9,295.00"
Hot Springs,ELECTRONICS AND APPLIANCE STORES,4431,,"95,714","63,586",,"16,064.00",152,"16,064.00",152,,,,,"63,586.00",605,,"96,623.00"
Hot Springs,BUILDING MATERIAL AND SUPPLIES DEALERS,4441,38.67276,"1,032,142","686,360",,"172,891.00",415,"172,891.00",415,,,,,"686,360.00","1,619.00",,"1,034,591.00"
Hot Springs,LAWN AND GARDEN EQUIPMENT AND SUPPLIES STORES,4442,6.184242,"39,275","26,104",,"6,586.00",,"6,586.00",,,,,,"26,104.00",,,"39,275.00"
Hot Springs,GROCERY STORES,4451,10.78974,"85,422","56,479",,"14,471.00",,"14,471.00",,,,,,"56,479.00",,,"85,422.00"
Hot Springs,SPECIALTY FOOD STORES,4452,0,746,497,,125,,125,,,,,,497,,,746
Hot Springs,"BEER, WINE, AND LIQUOR STORES",4453,0,"7,032","4,669",,"1,182.00",,"1,182.00",,,,,,"4,669.00",,,"7,032.00"
Hot Springs,HEALTH AND PERSONAL CARE STORES,4461,,"22,933","15,196",,"3,869.00",79,"3,869.00",79,,,,,"15,196.00",307,,"23,398.00"
Hot Springs,GASOLINE STATIONS,4471,,"210,974","140,331",494,"35,322.00",26,"35,322.00",26,,,,,"140,331.00",104,371,"211,995.00"
Hot Springs,CLOTHING STORES,4481,,"54,842","36,381",,"9,231.00",1,"9,231.00",1,,,,,"36,381.00",6,,"54,851.00"
Hot Springs,SHOE STORES,4482,,974,645,,164,,164,,,,,,645,,,974
Hot Springs,"JEWELRY, LUGGAGE, AND LEATHER GOODS STORES",4483,,"4,585","3,051",,767,,767,,,,,,"3,051.00",,,"4,585.00"
Hot Springs,SPORTING GOODS AND MUSICAL INSTRUMENT STORES,4511,,"36,018","23,951","3,849.00","6,033.00",,"6,033.00",,,,,,"23,951.00",,"2,849.00","42,715.00"
Hot Springs,"BOOK, PERIODICAL, AND MUSIC STORES",4512,,"6,618","4,387",,"1,115.00",2,"1,115.00",2,,,,,"4,387.00",8,,"6,630.00"
Hot Springs,DEPARTMENT STORES,4521,,"5,545","3,692",,926,,926,,,,,,"3,692.00",,,"5,545.00"
Hot Springs,OTHER GENERAL MERCHANDISE STORES,4529,,"168,286","111,859",481,"28,213.00",9,"28,213.00",9,,,,,"111,859.00",37,356,"169,179.00"
Hot Springs,FLORISTS,4531,,"5,143","3,427",,858,,858,,,,,,"3,427.00",,,"5,143.00"
Hot Springs,"OFFICE SUPPLIES, STATIONERY, AND GIFT STORES",4532,,"54,307","35,965","1,028.00","9,171.00",39,"9,171.00",39,,,,,"35,965.00",153,771,"56,337.00"
Hot Springs,USED MERCHANDISE STORES,4533,,"1,810","1,200",,305,,305,,,,,,"1,200.00",,,"1,810.00"
Hot Springs,OTHER MISCELLANEOUS STORE RETAILERS,4539,,"173,859","115,574",,"29,142.00",240,"29,142.00",240,,,,,"115,574.00",940,,"175,278.00"
Hot Springs,ELECTRONIC SHOPPING AND MAILORDER HOUSES,4541,,"616,365","410,092",,"103,136.00",73,"103,136.00",73,,,,,"410,092.00",286,,"616,796.00"
Hot Springs,VENDING MACHINE OPERATORS,4542,,"2,136","1,415",,361,,361,,,,,,"1,415.00",,,"2,136.00"
Hot Springs,DIRECT SELLING ESTABLISHMENTS,4543,,"62,166","41,372",,"10,397.00",7,"10,397.00",7,,,,,"41,372.00",28,,"62,208.00"
Hot Springs,TRAVELER ACCOMMODATION,7211,85.64514,"364,716","241,506","220,505.00","61,605.00",,"61,605.00",,,,,,"241,506.00",,"163,548.00","748,769.00"
Hot Springs,RV PARKS AND RECREATIONAL CAMPS,7212,3.354887,"19,797","13,112","12,726.00","3,343.00",1,"3,343.00",1,,,,,"13,112.00",3,"9,545.00","42,073.00"
Hot Springs,ROOMING AND BOARDING HOUSES,7213,0,0,0,,,,,,,,,,,,,
Hot Springs,FULL-SERVICE RESTAURANTS,7221,,"160,441","106,374",79,"27,034.00",14,"27,034.00",14,,,,,"106,374.00",52,56,"160,656.00"
Hot Springs,LIMITED-SERVICE EATING PLACES,7222,,"297,814","197,444",,"50,185.00",21,"50,185.00",21,,,,,"197,444.00",84,,"297,940.00"
Hot Springs,SPECIAL FOOD SERVICES,7223,3.274043,"9,817","6,514",,"1,651.00",,"1,651.00",,,,,,"6,514.00",,,"9,817.00"
Hot Springs,"DRINKING PLACES, ALCOHOLIC BEVERAGES",7224,16.14254,"66,482","43,895",,"11,293.00",,"11,293.00",,,,,,"43,895.00",,,"66,482.00"
Hot Springs,TOTAL,TOTAL,,"3,775,042","2,507,395","239,658.00","633,823.00","1,481.00","633,823.00","1,481.00",,,,,"2,507,395.00","5,833.00","177,867.00","4,201,360.00"
Johnson,AUTOMOBILE DEALERS,4411,0,"1,355","1,070",,272,,13,,,,,,"1,070.00",,,"1,355.00"
Johnson,OTHER MOTOR VEHICLE DEALERS,4412,5.605284,"24,845","19,631",,"4,996.00",,218,,,,,,"19,631.00",,,"24,845.00"
Johnson,"AUTO PARTS, ACCESSORIES, AND TIRE STORES",4413,19.89472,"435,296","341,265",,"86,179.00",81,"7,852.00",-8,,,,,"341,265.00",324,,"435,693.00"
Johnson,FURNITURE STORES,4421,,"52,425","41,213",,"10,504.00",679,708,191,,,,,"41,213.00","2,712.00",,"56,006.00"
Johnson,HOME FURNISHINGS STORES,4422,,"34,705","26,824",,"6,761.00",838,"1,120.00",37,,,,,"26,824.00","3,295.00",,"38,875.00"
Johnson,ELECTRONICS AND APPLIANCE STORES,4431,,"122,671","95,116",,"23,932.00","1,044.00","3,623.00",20,,,,,"95,116.00","4,170.00",,"127,906.00"
Johnson,BUILDING MATERIAL AND SUPPLIES DEALERS,4441,40.91667,"1,457,052","1,138,053",,"287,897.00","3,904.00","31,102.00",456,,,,,"1,138,053.00","15,467.00",,"1,476,880.00"
Johnson,LAWN AND GARDEN EQUIPMENT AND SUPPLIES STORES,4442,31.41667,"281,288","218,814",,"55,032.00",674,"7,441.00",113,,,,,"218,814.00","2,697.00",,"284,772.00"
Johnson,GROCERY STORES,4451,76,"86,177","67,338","2,353.00","17,002.00",,"1,837.00",,,,,,"67,338.00",,"3,398.00","91,928.00"
Johnson,SPECIALTY FOOD STORES,4452,17.90919,"28,565","22,049",175,"5,580.00",,936,,,,,,"22,049.00",,257,"28,997.00"
Johnson,"BEER, WINE, AND LIQUOR STORES",4453,13.00744,"239,419","187,463",,"47,359.00",11,"4,596.00",,,,,,"187,463.00",42,,"239,471.00"
Johnson,HEALTH AND PERSONAL CARE STORES,4461,,"67,727","52,626",,"13,397.00",171,"1,704.00",21,,,,,"52,626.00",671,,"68,590.00"
Johnson,GASOLINE STATIONS,4471,,"461,537","362,417",772,"91,252.00",230,"7,868.00",28,,,,,"362,417.00",911,"1,151.00","464,629.00"
Johnson,CLOTHING STORES,4481,,"68,572","53,451",,"13,491.00",36,"1,630.00",26,,,,,"53,451.00",141,,"68,776.00"
Johnson,SHOE STORES,4482,,"1,910","1,497",,380,,33,,,,,,"1,497.00",,,"1,910.00"
Johnson,"JEWELRY, LUGGAGE, AND LEATHER GOODS STORES",4483,,"17,397","13,216",,"3,371.00",,811,,,,,,"13,216.00",,,"17,397.00"
Johnson,SPORTING GOODS AND MUSICAL INSTRUMENT STORES,4511,,"170,804","132,077",,"33,083.00",24,"5,644.00",1,,,,,"132,077.00",92,,"170,921.00"
Johnson,"BOOK, PERIODICAL, AND MUSIC STORES",4512,,"6,240","4,799",,"1,222.00",3,219,.,,,,,"4,799.00",13,,"6,255.00"
Johnson,DEPARTMENT STORES,4521,,"9,760","7,655",,"1,920.00",,185,,,,,,"7,655.00",,,"9,760.00"
Johnson,OTHER GENERAL MERCHANDISE STORES,4529,,"180,986","142,022",,"35,652.00","1,017.00","3,312.00",483,,,,,"142,022.00","4,063.00",,"186,549.00"
Johnson,FLORISTS,4531,,"8,433","6,417",,"1,636.00",335,381,95,,,,,"6,417.00","1,315.00",,"10,178.00"
Johnson,"OFFICE SUPPLIES, STATIONERY, AND GIFT STORES",4532,,"71,787","55,701","2,920.00","14,093.00",74,"1,994.00",22,,,,,"55,701.00",289,"4,217.00","79,309.00"
Johnson,USED MERCHANDISE STORES,4533,,"25,707","19,970",,"5,094.00",,644,,,,,,"19,970.00",,,"25,707.00"
